sku,sku_name,proveedor,owner,leadtime,fecha_arribo,cantidad_a_comprar,moq,precio_unitario,mes_arribo
BATH-MI60-BLA,Botiquín Con Espejo Para Baño Color Blanco 2 Puertas,INTL9OCX,Celia Russo,125,2025-10-30,69,0,26,10
BATH-MI60-LED,Espejo Led Baño Luz Led 50x60 rectangular,INTL9OCX,Celia Russo,125,2025-10-30,0,0,16,10
BATH-MI60-MAD,Botiquín Con Espejo Para Baño Color Blanco 2 Puertas,INTL9OCX,Celia Russo,125,2025-10-30,313,0,26,10
BATH-MI75-BLA,Botiquín Con Espejo Para Baño Color Blanco 3 Puertas,INTL9OCX,Celia Russo,125,2025-10-30,27,0,34,10
BATH-MI75-MAD,Botiquín Con Espejo Para Baño Color Blanco 3 Puertas,INTL9OCX,Celia Russo,125,2025-10-30,0,0,34,10
BATH-VA1-BLA,Mueble Gabinete Para Baño Con Ovalin y Monomando,INTL9OCX,Celia Russo,125,2025-10-30,52,0,50,10
BATH-VA1-MAD,Mueble Gabinete Para Baño Con Ovalin y Monomando,INTL9OCX,Celia Russo,125,2025-10-30,659,0,50,10
BBHSE-EVOL27-GRI,Silla de bebe periquera evolution,INTL5WA9,Celia Russo,100,2025-09-30,0,0,35,9
BBSTR-ADVAN-NEG,Carriola para bebe plegable advance,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-SELECT-AZU,Carriola para bebe plegable select one click,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-SELECT-GRI,Carriola para bebe plegable select one click,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-SMART-AZU,Carriola para bebe plegable smart,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-SMART-BEI,Carriola para bebe plegable smart,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-SMART-ROS,Carriola para bebe plegable smart,INTL5WA9,Celia Russo,100,2025-09-30,0,0,18,9
BBSTR-TOURIN-CAQ,Cariola para bebe para viaje touring,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BBSTR-TOURIN-GRI,Cariola para bebe para viaje touring,INTL5WA9,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BEDCOU1-BLA,Base Cama Matrimonial Con Cajones Compartimientos KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,72,9
BEDCOU1-MAD,Base Cama Matrimonial Con Cajones Compartimientos KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,72,9
BEDCOU2-BLA,Base Cama Matrimonial Abatible Blanca KingsHouse Desmontable,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,84,9
BEDCR-BLA,Cuna 3 En 1 Con Cajones Blanca Moderna Nordica Kingshouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,68,9
BED-FLEX-IND,Cama con resplado individual flex,INTL8AEL,Celia Russo,125,2025-10-30,42,0,66,10
BED-FLEX-MAT,Cama con resplado matrimonial flex,INTL8AEL,Celia Russo,125,2025-10-30,42,0,69,10
BED-MODAL-IND,Cama con resplado individual modal,INTL8AEL,Celia Russo,125,2025-10-30,42,0,54,10
BED-MODAL-MAT,Cama con resplado matrimonial modal,INTL8AEL,Celia Russo,125,2025-10-30,42,0,58,10
BED-PLEGA-IND,Cama abatible con respaldo individual plega,INTL8AEL,Celia Russo,125,2025-10-30,42,0,65,10
BED-PLEGA-MAT,Cama abatible con respaldo matrimonial plega,INTL8AEL,Celia Russo,125,2025-10-30,42,0,77,10
BEDRM3-BLA,Juego de dormitorio ropero comoda y buro,INTLBRGXE1,Celia Russo,100,2025-09-30,0,0,FALTA INFO,9
BEDRM3-CHO,Juego de dormitorio ropero comoda y buro,INTLBRGXE1,Celia Russo,100,2025-09-30,53,0,FALTA INFO,9
BEDRM3-NOG,Juego de dormitorio ropero comoda y buro,INTLBRGXE1,Celia Russo,100,2025-09-30,53,0,FALTA INFO,9
BEDSIN1-BLA,Base Cama Individual Abatible Blanca KingsHouse Desmontable,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,66,9
BEDSIN2-BLA,Base Cama Individual Con Cajones KingsHouse Recamara,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,65,9
BEDSIN2-MAD,Base Cama Individual Con Cajones KingsHouse Recamara,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,65,9
BEDSIN3-BLA,Cama Individual Resbaladilla Tobogán Mini Loft KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,70,9
BEDSIN3-MAD,Cama Individual Resbaladilla Tobogán Mini Loft KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,70,9
BEDSIN4-BLA,Cama Individual Con Escritorio Multifuncional,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,84,9
BEDSIN4-MAD,Cama Individual Escritorio Cajones Litera Base KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,84,9
BEDTW1-MAD,Litera Doble Individual Base Cama Con Estante KingsHouse,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,89,9
BEDTW2-BLA,Litera Doble Individual Base Cama KingsHouse Desmontable,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,67,9
BEDTW2-MAD,Litera Doble Individual Base Cama KingsHouse Desmontable,INTLBRJ7XM,Celia Russo,90,2025-09-30,0,0,67,9
BIFIPRO-10,Bicicleta Fija 10 kg Estática Para Spinning Cardio Fitness,INTLZKCM,Vanina Paolillo,100,2025-09-30,0,0,56,9
BIFIPRO-13,Bicicleta Fija 13 kg Estática Para Spinning Cardio Fitness,INTLO1JC,Vanina Paolillo,125,2025-10-30,49,0,59,10
BIFIPRO-15,Bicicleta Fija Para Spinning 15kg Estática Cardio Ejercicio,INTLO1JC,Vanina Paolillo,125,2025-10-30,0,0,65,10
BIFIPRO-18,Bicicleta Fija 18 kg Estática Para Spinning Cardio Fitness,INTLO1JC,Vanina Paolillo,125,2025-10-30,0,0,72,10
BIFIPRO-20,Bicicleta Fija De Spinning 20 kg Estática Cardio Profesional,INTL1WAF,Vanina Paolillo,100,2025-09-30,0,0,78,9
BIFIPRO-8,Bicicleta Fija 8 Kg Spinning Cardio Fitness Kingsports,INTLO1JC,Vanina Paolillo,125,2025-10-30,208,0,46,10
BIFISPIN-1,Bicicleta Fija Para Spinning Cardio Fitness Kingsports,INTL1WAF,Vanina Paolillo,100,2025-09-30,0,0,25,9
BIFISPIN-6,Bicicleta Fija Negra KINGBIFI6 KINGSPORTS,INTL1WAF,Vanina Paolillo,100,2025-09-30,0,0,38,9
